nm, %R
1100.000000, 4.142793
1098.000000, 4.143011
1096.000000, 4.142358
1094.000000, 4.144394
1092.000000, 4.143249
1090.000000, 4.142003
1088.000000, 4.144256
1086.000000, 4.140681
1084.000000, 4.144353
1082.000000, 4.143811
1080.000000, 4.143236
1078.000000, 4.144404
1076.000000, 4.144567
1074.000000, 4.142210
1072.000000, 4.144118
1070.000000, 4.144717
1068.000000, 4.143314
1066.000000, 4.143374
1064.000000, 4.144431
1062.000000, 4.142679
1060.000000, 4.146800
1058.000000, 4.147820
1056.000000, 4.146148
1054.000000, 4.147211
1052.000000, 4.143943
1050.000000, 4.143742
1048.000000, 4.144683
1046.000000, 4.147253
1044.000000, 4.149027
1042.000000, 4.147836
1040.000000, 4.146679
1038.000000, 4.149970
1036.000000, 4.148880
1034.000000, 4.150297
1032.000000, 4.147566
1030.000000, 4.150045
1028.000000, 4.150759
1026.000000, 4.150577
1024.000000, 4.149672
1022.000000, 4.151408
1020.000000, 4.153262
1018.000000, 4.152130
1016.000000, 4.155105
1014.000000, 4.149164
1012.000000, 4.152452
1010.000000, 4.155630
1008.000000, 4.155416
1006.000000, 4.153385
1004.000000, 4.156119
1002.000000, 4.157254
1000.000000, 4.156211
998.000000, 4.159141
996.000000, 4.157945
994.000000, 4.158810
992.000000, 4.161332
990.000000, 4.159588
988.000000, 4.160410
986.000000, 4.160660
984.000000, 4.162012
982.000000, 4.163493
980.000000, 4.160667
978.000000, 4.160265
976.000000, 4.161694
974.000000, 4.160927
972.000000, 4.167018
970.000000, 4.164485
968.000000, 4.165967
966.000000, 4.164514
964.000000, 4.167191
962.000000, 4.165697
960.000000, 4.168099
958.000000, 4.167759
956.000000, 4.163546
954.000000, 4.165691
952.000000, 4.169293
950.000000, 4.168760
948.000000, 4.168162
946.000000, 4.171955
944.000000, 4.168948
942.000000, 4.167393
940.000000, 4.170778
938.000000, 4.170620
936.000000, 4.170103
934.000000, 4.173406
932.000000, 4.177987
930.000000, 4.168966
928.000000, 4.178204
926.000000, 4.171053
924.000000, 4.173472
922.000000, 4.178208
920.000000, 4.174210
918.000000, 4.170086
916.000000, 4.174533
914.000000, 4.171555
912.000000, 4.165001
910.000000, 4.164901
908.000000, 4.162469
906.000000, 4.166440
904.000000, 4.165142
902.000000, 4.157982
900.000000, 4.167422
898.000000, 4.168452
896.000000, 4.157207
894.000000, 4.144557
892.000000, 4.149618
890.000000, 4.148766
888.000000, 4.232574
886.000000, 4.231693
884.000000, 4.231572
882.000000, 4.232603
880.000000, 4.232671
878.000000, 4.234683
876.000000, 4.232735
874.000000, 4.233995
872.000000, 4.236092
870.000000, 4.234377
868.000000, 4.235554
866.000000, 4.235084
864.000000, 4.236879
862.000000, 4.234260
860.000000, 4.236624
858.000000, 4.235573
856.000000, 4.236723
854.000000, 4.238570
852.000000, 4.237591
850.000000, 4.236361
848.000000, 4.240462
846.000000, 4.236175
844.000000, 4.239776
842.000000, 4.240136
840.000000, 4.238383
838.000000, 4.239350
836.000000, 4.237868
834.000000, 4.240750
832.000000, 4.241081
830.000000, 4.239874
828.000000, 4.240764
826.000000, 4.238015
824.000000, 4.238433
822.000000, 4.238248
820.000000, 4.239054
818.000000, 4.243531
816.000000, 4.241804
814.000000, 4.243571
812.000000, 4.245822
810.000000, 4.243294
808.000000, 4.242401
806.000000, 4.242850
804.000000, 4.243106
802.000000, 4.243672
800.000000, 4.242217
798.000000, 4.242848
796.000000, 4.244809
794.000000, 4.242543
792.000000, 4.244672
790.000000, 4.243667
788.000000, 4.243218
786.000000, 4.244310
784.000000, 4.243264
782.000000, 4.245864
780.000000, 4.245635
778.000000, 4.246292
776.000000, 4.245119
774.000000, 4.246761
772.000000, 4.245903
770.000000, 4.247241
768.000000, 4.246985
766.000000, 4.247058
764.000000, 4.248321
762.000000, 4.248507
760.000000, 4.248940
758.000000, 4.250884
756.000000, 4.249407
754.000000, 4.249250
752.000000, 4.250408
750.000000, 4.250849
748.000000, 4.251302
746.000000, 4.250569
744.000000, 4.251972
742.000000, 4.251360
740.000000, 4.251646
738.000000, 4.251730
736.000000, 4.251902
734.000000, 4.252569
732.000000, 4.254200
730.000000, 4.254196
728.000000, 4.254584
726.000000, 4.253164
724.000000, 4.254082
722.000000, 4.253789
720.000000, 4.253144
718.000000, 4.253840
716.000000, 4.253336
714.000000, 4.255779
712.000000, 4.255293
710.000000, 4.255877
708.000000, 4.256654
706.000000, 4.255929
704.000000, 4.257864
702.000000, 4.258568
700.000000, 4.257768
698.000000, 4.258018
696.000000, 4.258341
694.000000, 4.259218
692.000000, 4.258784
690.000000, 4.259590
688.000000, 4.261251
686.000000, 4.261839
684.000000, 4.262326
682.000000, 4.262049
680.000000, 4.262660
678.000000, 4.263509
676.000000, 4.264274
674.000000, 4.264036
672.000000, 4.265057
670.000000, 4.265635
668.000000, 4.265023
666.000000, 4.266024
664.000000, 4.267374
662.000000, 4.267337
660.000000, 4.266219
658.000000, 4.267738
656.000000, 4.268936
654.000000, 4.269879
652.000000, 4.270528
650.000000, 4.270835
648.000000, 4.270801
646.000000, 4.271529
644.000000, 4.273952
642.000000, 4.273657
640.000000, 4.275218
638.000000, 4.274995
636.000000, 4.276616
634.000000, 4.278563
632.000000, 4.278571
630.000000, 4.279862
628.000000, 4.280181
626.000000, 4.281551
624.000000, 4.280998
622.000000, 4.281501
620.000000, 4.282850
618.000000, 4.282712
616.000000, 4.283343
614.000000, 4.284341
612.000000, 4.285430
610.000000, 4.286729
608.000000, 4.287392
606.000000, 4.288770
604.000000, 4.289257
602.000000, 4.289576
600.000000, 4.291625
598.000000, 4.291918
596.000000, 4.292466
594.000000, 4.293655
592.000000, 4.294253
590.000000, 4.294496
588.000000, 4.295912
586.000000, 4.297697
584.000000, 4.298536
582.000000, 4.299087
580.000000, 4.300021
578.000000, 4.301523
576.000000, 4.303150
574.000000, 4.304073
572.000000, 4.304439
570.000000, 4.305633
568.000000, 4.307333
566.000000, 4.308292
564.000000, 4.309460
562.000000, 4.311082
560.000000, 4.311115
558.000000, 4.312869
556.000000, 4.314870
554.000000, 4.316351
552.000000, 4.317910
550.000000, 4.319350
548.000000, 4.320946
546.000000, 4.322914
544.000000, 4.323893
542.000000, 4.325158
540.000000, 4.326777
538.000000, 4.328598
536.000000, 4.330464
534.000000, 4.332505
532.000000, 4.333587
530.000000, 4.335134
528.000000, 4.336982
526.000000, 4.338144
524.000000, 4.339564
522.000000, 4.341272
520.000000, 4.343022
518.000000, 4.343879
516.000000, 4.344821
514.000000, 4.345926
512.000000, 4.346543
510.000000, 4.347394
508.000000, 4.347892
506.000000, 4.348408
504.000000, 4.348571
502.000000, 4.347920
500.000000, 4.347845
498.000000, 4.346836
496.000000, 4.345488
494.000000, 4.344912
492.000000, 4.345268
490.000000, 4.345223
488.000000, 4.346052
486.000000, 4.348478
484.000000, 4.351233
482.000000, 4.354148
480.000000, 4.358637
478.000000, 4.362515
476.000000, 4.364868
474.000000, 4.366612
472.000000, 4.369231
470.000000, 4.371862
468.000000, 4.373378
466.000000, 4.374736
464.000000, 4.376248
462.000000, 4.377575
460.000000, 4.378586
458.000000, 4.378648
456.000000, 4.378435
454.000000, 4.379474
452.000000, 4.378859
450.000000, 4.378040
448.000000, 4.379665
446.000000, 4.381719
444.000000, 4.383309
442.000000, 4.385286
440.000000, 4.387921
438.000000, 4.389684
436.000000, 4.392063
434.000000, 4.395119
432.000000, 4.397548
430.000000, 4.399313
428.000000, 4.401663
426.000000, 4.404553
424.000000, 4.405467
422.000000, 4.407768
420.000000, 4.410646
418.000000, 4.412689
416.000000, 4.414902
414.000000, 4.417952
412.000000, 4.420041
410.000000, 4.423382
408.000000, 4.426760
406.000000, 4.428127
404.000000, 4.430172
402.000000, 4.432974
400.000000, 4.434962
398.000000, 4.437909
396.000000, 4.441087
394.000000, 4.444593
392.000000, 4.447626
390.000000, 4.450948
388.000000, 4.454395
386.000000, 4.459485
384.000000, 4.461630
382.000000, 4.463010
380.000000, 4.465930
378.000000, 4.467486
376.000000, 4.469435
374.000000, 4.469800
372.000000, 4.476146
370.000000, 4.482429
368.000000, 4.486284
366.000000, 4.489053
364.000000, 4.493899
362.000000, 4.499173
360.000000, 4.506373
358.000000, 4.511718
356.000000, 4.511529
354.000000, 4.514244
352.000000, 4.520748
350.000000, 4.526133
348.000000, 4.530031
346.000000, 4.533524
344.000000, 4.540337
342.000000, 4.549496
340.000000, 4.551097
338.000000, 4.553653
336.000000, 4.561197
334.000000, 4.569982
332.000000, 4.570218
330.000000, 4.574202
328.000000, 4.578915
326.000000, 4.583748
324.000000, 4.587612
322.000000, 4.593063
320.000000, 4.603327
318.000000, 4.608180
316.000000, 4.599818
314.000000, 4.610004
312.000000, 4.619814
310.000000, 4.622836
308.000000, 4.635931
306.000000, 4.640848
304.000000, 4.646134
302.000000, 4.651224
300.000000, 4.662617
298.000000, 4.672870
296.000000, 4.681820
294.000000, 4.691762
292.000000, 4.704632
290.000000, 4.712765
288.000000, 4.721164
286.000000, 4.731410
284.000000, 4.743652
282.000000, 4.758560
280.000000, 4.769371
278.000000, 4.777693
276.000000, 4.785808
274.000000, 4.797348
272.000000, 4.809766
270.000000, 4.821894
268.000000, 4.831432
266.000000, 4.845209
264.000000, 4.858441
262.000000, 4.870082
260.000000, 4.887591
258.000000, 4.900444
256.000000, 4.914375
254.000000, 4.932306
252.000000, 4.947458
250.000000, 4.962916
