nm, %T
1100.000000, 92.088012
1098.000000, 92.087340
1096.000000, 92.086558
1094.000000, 92.085944
1092.000000, 92.086191
1090.000000, 92.084317
1088.000000, 92.083695
1086.000000, 92.085729
1084.000000, 92.083139
1082.000000, 92.080798
1080.000000, 92.079626
1078.000000, 92.083068
1076.000000, 92.080464
1074.000000, 92.080479
1072.000000, 92.083576
1070.000000, 92.079414
1068.000000, 92.077310
1066.000000, 92.083414
1064.000000, 92.081637
1062.000000, 92.077453
1060.000000, 92.076083
1058.000000, 92.081835
1056.000000, 92.076107
1054.000000, 92.080686
1052.000000, 92.073833
1050.000000, 92.074596
1048.000000, 92.079765
1046.000000, 92.076301
1044.000000, 92.078059
1042.000000, 92.078841
1040.000000, 92.077674
1038.000000, 92.074309
1036.000000, 92.078811
1034.000000, 92.079436
1032.000000, 92.075315
1030.000000, 92.072275
1028.000000, 92.072456
1026.000000, 92.071250
1024.000000, 92.072589
1022.000000, 92.073342
1020.000000, 92.071462
1018.000000, 92.072491
1016.000000, 92.068796
1014.000000, 92.067438
1012.000000, 92.068031
1010.000000, 92.066112
1008.000000, 92.064149
1006.000000, 92.063729
1004.000000, 92.061491
1002.000000, 92.060561
1000.000000, 92.060982
998.000000, 92.059317
996.000000, 92.057766
994.000000, 92.056681
992.000000, 92.054093
990.000000, 92.050499
988.000000, 92.048047
986.000000, 92.046603
984.000000, 92.044038
982.000000, 92.040853
980.000000, 92.037313
978.000000, 92.033853
976.000000, 92.029548
974.000000, 92.028324
972.000000, 92.034093
970.000000, 92.020814
968.000000, 92.016199
966.000000, 92.014390
964.000000, 92.014122
962.000000, 92.011512
960.000000, 92.013715
958.000000, 92.015117
956.000000, 92.016352
954.000000, 92.019599
952.000000, 92.020112
950.000000, 92.024956
948.000000, 92.028015
946.000000, 92.036859
944.000000, 92.040647
942.000000, 92.047467
940.000000, 92.051756
938.000000, 92.054009
936.000000, 92.056532
934.000000, 92.059008
932.000000, 92.061281
930.000000, 92.063242
928.000000, 92.065288
926.000000, 92.063313
924.000000, 92.065502
922.000000, 92.063269
920.000000, 92.065644
918.000000, 92.068219
916.000000, 92.068726
914.000000, 92.066731
912.000000, 92.067047
910.000000, 92.065988
908.000000, 92.066467
906.000000, 92.068753
904.000000, 92.069718
902.000000, 92.069245
900.000000, 92.068234
898.000000, 92.068377
896.000000, 92.069293
894.000000, 92.071442
892.000000, 92.072693
890.000000, 92.069575
888.000000, 92.069600
886.000000, 92.070379
884.000000, 92.069908
882.000000, 92.072510
880.000000, 92.075516
878.000000, 92.076696
876.000000, 92.078600
874.000000, 92.076609
872.000000, 92.077271
870.000000, 92.075620
868.000000, 92.075558
866.000000, 92.078199
864.000000, 92.077480
862.000000, 92.080063
860.000000, 92.137572
858.000000, 92.102881
856.000000, 92.122002
854.000000, 92.130605
852.000000, 92.130924
850.000000, 92.089216
848.000000, 92.009201
846.000000, 92.122720
844.000000, 92.086967
842.000000, 92.123517
840.000000, 92.097453
838.000000, 92.087645
836.000000, 92.016033
834.000000, 92.087178
832.000000, 92.037000
830.000000, 92.080201
828.000000, 92.090539
826.000000, 92.052666
824.000000, 92.058354
822.000000, 92.027504
820.000000, 92.038550
818.000000, 92.049377
816.000000, 92.048286
814.000000, 92.048084
812.000000, 92.030815
810.000000, 91.999389
808.000000, 91.997648
806.000000, 92.009898
804.000000, 92.020168
802.000000, 91.986588
800.000000, 92.000070
798.000000, 92.015066
796.000000, 91.992240
794.000000, 92.004772
792.000000, 92.000615
790.000000, 91.994603
788.000000, 92.005886
786.000000, 92.000653
784.000000, 91.984340
782.000000, 92.001133
780.000000, 91.994359
778.000000, 91.987748
776.000000, 91.979466
774.000000, 91.987930
772.000000, 92.012272
770.000000, 92.006119
768.000000, 91.995300
766.000000, 91.992848
764.000000, 91.987156
762.000000, 91.984138
760.000000, 92.011913
758.000000, 91.991595
756.000000, 91.980551
754.000000, 91.988600
752.000000, 91.999445
