nm, %R
1100.000000, 3.547224
1098.000000, 3.549181
1096.000000, 3.547201
1094.000000, 3.549008
1092.000000, 3.548066
1090.000000, 3.546940
1088.000000, 3.546797
1086.000000, 3.548559
1084.000000, 3.547099
1082.000000, 3.544669
1080.000000, 3.544841
1078.000000, 3.547804
1076.000000, 3.546393
1074.000000, 3.541926
1072.000000, 3.544778
1070.000000, 3.547281
1068.000000, 3.547403
1066.000000, 3.547807
1064.000000, 3.546991
1062.000000, 3.547325
1060.000000, 3.546311
1058.000000, 3.545300
1056.000000, 3.545116
1054.000000, 3.548571
1052.000000, 3.544935
1050.000000, 3.542352
1048.000000, 3.542762
1046.000000, 3.540646
1044.000000, 3.547093
1042.000000, 3.541283
1040.000000, 3.544291
1038.000000, 3.544352
1036.000000, 3.546139
1034.000000, 3.545079
1032.000000, 3.545964
1030.000000, 3.546394
1028.000000, 3.543021
1026.000000, 3.544323
1024.000000, 3.545115
1022.000000, 3.539607
1020.000000, 3.540916
1018.000000, 3.544854
1016.000000, 3.541865
1014.000000, 3.542903
1012.000000, 3.545328
1010.000000, 3.548616
1008.000000, 3.544600
1006.000000, 3.542358
1004.000000, 3.542842
1002.000000, 3.545112
1000.000000, 3.544361
998.000000, 3.543142
996.000000, 3.546244
994.000000, 3.545522
992.000000, 3.545077
990.000000, 3.545033
988.000000, 3.545713
986.000000, 3.544945
984.000000, 3.546941
982.000000, 3.545288
980.000000, 3.543000
978.000000, 3.543869
976.000000, 3.547551
974.000000, 3.550739
972.000000, 3.550670
970.000000, 3.545261
968.000000, 3.547163
966.000000, 3.550186
964.000000, 3.548948
962.000000, 3.546990
960.000000, 3.546589
958.000000, 3.549893
956.000000, 3.544758
954.000000, 3.548468
952.000000, 3.549033
950.000000, 3.547503
948.000000, 3.546800
946.000000, 3.546848
944.000000, 3.548753
942.000000, 3.547764
940.000000, 3.548896
938.000000, 3.547728
936.000000, 3.549024
934.000000, 3.551897
932.000000, 3.550972
930.000000, 3.539636
928.000000, 3.552143
926.000000, 3.545302
924.000000, 3.545390
922.000000, 3.541520
920.000000, 3.551276
918.000000, 3.546232
916.000000, 3.548194
914.000000, 3.547111
912.000000, 3.547183
910.000000, 3.546981
908.000000, 3.546322
906.000000, 3.541059
904.000000, 3.541840
902.000000, 3.540802
900.000000, 3.529823
898.000000, 3.529769
896.000000, 3.539595
894.000000, 3.522135
892.000000, 3.519026
890.000000, 3.514169
888.000000, 3.587524
886.000000, 3.587570
884.000000, 3.586857
882.000000, 3.586793
880.000000, 3.586735
878.000000, 3.587687
876.000000, 3.586137
874.000000, 3.586260
872.000000, 3.587297
870.000000, 3.585857
868.000000, 3.587717
866.000000, 3.587011
864.000000, 3.586805
862.000000, 3.587659
860.000000, 3.587899
858.000000, 3.586968
856.000000, 3.586678
854.000000, 3.585200
852.000000, 3.587058
850.000000, 3.585403
848.000000, 3.586261
846.000000, 3.584872
844.000000, 3.584568
842.000000, 3.585375
840.000000, 3.587202
838.000000, 3.584153
836.000000, 3.585358
834.000000, 3.585172
832.000000, 3.584547
830.000000, 3.586177
