nm, %T
1100.000000, 93.432620
1098.000000, 93.433523
1096.000000, 93.432040
1094.000000, 93.433423
1092.000000, 93.435456
1090.000000, 93.431602
1088.000000, 93.428192
1086.000000, 93.428524
1084.000000, 93.427113
1082.000000, 93.426077
1080.000000, 93.424202
1078.000000, 93.422866
1076.000000, 93.422489
1074.000000, 93.425743
1072.000000, 93.421726
1070.000000, 93.416945
1068.000000, 93.417302
1066.000000, 93.420028
1064.000000, 93.418232
1062.000000, 93.414628
1060.000000, 93.415331
1058.000000, 93.414906
1056.000000, 93.415550
1054.000000, 93.414248
1052.000000, 93.412359
1050.000000, 93.416335
1048.000000, 93.412533
1046.000000, 93.413984
1044.000000, 93.413239
1042.000000, 93.413425
1040.000000, 93.413217
1038.000000, 93.413286
1036.000000, 93.412901
1034.000000, 93.413205
1032.000000, 93.412546
1030.000000, 93.411175
1028.000000, 93.411426
1026.000000, 93.407795
1024.000000, 93.407515
1022.000000, 93.407361
1020.000000, 93.406143
1018.000000, 93.409758
1016.000000, 93.405117
1014.000000, 93.403520
1012.000000, 93.403300
1010.000000, 93.404042
1008.000000, 93.403336
1006.000000, 93.403501
1004.000000, 93.402017
1002.000000, 93.400960
1000.000000, 93.398752
998.000000, 93.398345
996.000000, 93.397267
994.000000, 93.399153
992.000000, 93.398242
990.000000, 93.396891
988.000000, 93.395793
986.000000, 93.394623
984.000000, 93.393398
982.000000, 93.392886
980.000000, 93.395117
978.000000, 93.393230
976.000000, 93.391168
974.000000, 93.391128
972.000000, 93.397881
970.000000, 93.388023
968.000000, 93.387728
966.000000, 93.389309
964.000000, 93.387209
962.000000, 93.384252
960.000000, 93.384344
958.000000, 93.382025
956.000000, 93.381226
954.000000, 93.381558
952.000000, 93.377817
950.000000, 93.375544
948.000000, 93.373378
946.000000, 93.374938
944.000000, 93.375920
942.000000, 93.378350
940.000000, 93.378721
938.000000, 93.379038
936.000000, 93.376327
934.000000, 93.375569
932.000000, 93.376617
930.000000, 93.377837
928.000000, 93.377152
926.000000, 93.377316
924.000000, 93.376983
922.000000, 93.373596
920.000000, 93.373336
918.000000, 93.374370
916.000000, 93.374925
914.000000, 93.373364
912.000000, 93.372533
910.000000, 93.368715
908.000000, 93.367340
906.000000, 93.366077
904.000000, 93.367496
902.000000, 93.368862
900.000000, 93.367572
898.000000, 93.365653
896.000000, 93.364710
894.000000, 93.365391
892.000000, 93.365390
890.000000, 93.363258
888.000000, 93.365618
886.000000, 93.364031
884.000000, 93.360673
882.000000, 93.359710
880.000000, 93.360842
878.000000, 93.359540
876.000000, 93.360666
874.000000, 93.360252
872.000000, 93.359514
870.000000, 93.356635
868.000000, 93.354566
866.000000, 93.355213
864.000000, 93.355065
862.000000, 93.357966
860.000000, 93.311646
858.000000, 93.308465
856.000000, 93.293933
854.000000, 93.403974
852.000000, 93.357099
850.000000, 93.319822
848.000000, 93.282718
846.000000, 93.298923
844.000000, 93.318337
842.000000, 93.344431
840.000000, 93.321052
838.000000, 93.330249
836.000000, 93.266590
834.000000, 93.302246
832.000000, 93.329001
830.000000, 93.320429
828.000000, 93.349130
826.000000, 93.314615
824.000000, 93.301823
822.000000, 93.305016
820.000000, 93.325021
818.000000, 93.328876
816.000000, 93.315023
814.000000, 93.307767
812.000000, 93.310864
810.000000, 93.283897
808.000000, 93.307559
806.000000, 93.284580
804.000000, 93.286958
802.000000, 93.280899
800.000000, 93.281063
798.000000, 93.314770
796.000000, 93.276191
794.000000, 93.299935
792.000000, 93.276557
790.000000, 93.283413
788.000000, 93.281373
786.000000, 93.285964
784.000000, 93.292869
782.000000, 93.297788
780.000000, 93.279806
778.000000, 93.260964
776.000000, 93.250766
774.000000, 93.254502
772.000000, 93.280619
770.000000, 93.291281
768.000000, 93.283911
766.000000, 93.287322
764.000000, 93.294884
762.000000, 93.273318
760.000000, 93.302815
758.000000, 93.282017
756.000000, 93.276274
754.000000, 93.262693
752.000000, 93.270147
750.000000, 93.263513
748.000000, 93.276082
746.000000, 93.239185
744.000000, 93.259254
742.000000, 93.253942
740.000000, 93.245985
738.000000, 93.256951
736.000000, 93.268761
734.000000, 93.235872
732.000000, 93.264248
730.000000, 93.249900
728.000000, 93.248093
726.000000, 93.256393
724.000000, 93.246988
722.000000, 93.258358
720.000000, 93.246257
718.000000, 93.251568
716.000000, 93.267997
714.000000, 93.256152
712.000000, 93.238007
710.000000, 93.238389
708.000000, 93.256880
706.000000, 93.256871
704.000000, 93.241744
702.000000, 93.256541
700.000000, 93.252008
698.000000, 93.239158
696.000000, 93.250924
694.000000, 93.245921
692.000000, 93.242944
690.000000, 93.236696
688.000000, 93.217396
686.000000, 93.237069
684.000000, 93.235267
682.000000, 93.232357
680.000000, 93.243159
678.000000, 93.232833
676.000000, 93.236950
674.000000, 93.243489
672.000000, 93.234925
670.000000, 93.224421
668.000000, 93.215592
666.000000, 93.230066
664.000000, 93.240648
662.000000, 93.235568
660.000000, 93.222285
658.000000, 93.214225
656.000000, 93.226196
654.000000, 93.237232
652.000000, 93.227816
650.000000, 93.220140
648.000000, 93.225307
646.000000, 93.218029
644.000000, 93.207717
642.000000, 93.195123
640.000000, 93.214442
638.000000, 93.216903
636.000000, 93.208375
634.000000, 93.209609
632.000000, 93.215173
630.000000, 93.214253
628.000000, 93.207244
626.000000, 93.208598
624.000000, 93.214503
622.000000, 93.197531
620.000000, 93.190420
618.000000, 93.196655
616.000000, 93.202745
614.000000, 93.196347
612.000000, 93.195644
610.000000, 93.197789
608.000000, 93.180186
606.000000, 93.191739
604.000000, 93.206222
602.000000, 93.195084
600.000000, 93.182322
598.000000, 93.182800
596.000000, 93.198106
594.000000, 93.178472
592.000000, 93.187761
590.000000, 93.187670
588.000000, 93.172069
586.000000, 93.168762
584.000000, 93.175425
582.000000, 93.171304
580.000000, 93.177658
578.000000, 93.164533
576.000000, 93.156627
574.000000, 93.165108
572.000000, 93.174535
570.000000, 93.165976
568.000000, 93.157094
566.000000, 93.166582
564.000000, 93.159076
562.000000, 93.156573
560.000000, 93.155331
558.000000, 93.156006
556.000000, 93.157143
