EO pos[mm]	Time[ps]	AVG[arb.u.]	Norm[arb.u.]	
50.644	337.860400744304	10.54119683	0.0172795757513719	
50.66	337.967141254768	10.33633523	0.0169437579507145	
50.676	338.073881765231	12.5887931	0.0206360821733937	
50.692	338.180622275694	13.06578419	0.021417986145524	
50.708	338.287362786158	13.99224751	0.0229366840103857	
50.724	338.394103296621	14.3989128	0.0236033069562745	
50.74	338.500843807085	15.903779	0.0260701472892976	
50.756	338.607584317548	17.3046855	0.0283665724844374	
50.772	338.714324828012	16.7690897	0.0274886011926124	
50.788	338.821065338475	17.1828897	0.0281669196569416	
50.804	338.927805848938	16.1652068	0.0264986907978258	
50.82	339.034546359402	17.4652114	0.0286297133301915	
50.836	339.141286869865	17.0799493	0.0279981753987361	
50.852	339.248027380329	17.4376926	0.0285846033491471	
50.868	339.354767890792	16.8801837	0.0276707111768468	
50.884	339.461508401255	17.0182872	0.0278970962760215	
50.9	339.568248911719	16.4561917	0.0269756855549814	
50.916	339.674989422182	17.0116621	0.0278862361318503	
50.932	339.781729932646	15.6020925	0.0255756100167291	
50.948	339.888470443109	16.3588572	0.0268161307251935	
50.964	339.995210953572	15.14140879	0.0248204377917202	
50.98	340.101951464036	15.2010327	0.0249181758271685	
50.996	340.208691974499	14.2037341	0.0232833617748976	
51.012	340.315432484963	15.2244745	0.02495660261735	
51.028	340.422172995426	15.2102055	0.024933212268951	
51.044	340.528913505889	14.9905652	0.0245731685980935	
51.06	340.635654016353	16.2829259	0.0266916609262314	
51.076	340.742394526816	16.0612473	0.0263282759877909	
51.092	340.84913503728	17.196649	0.0281894744835396	
51.108	340.955875547743	21.553779	0.0353318662923428	
51.124	341.062616058207	21.4309639	0.0351305425851692	
51.14	341.16935656867	25.2749209	0.0414317195044239	
51.156	341.276097079133	28.8752861	0.0473335904408385	
51.172	341.382837589597	33.9749119	0.0556931127736314	
51.188	341.48957810006	38.5063269	0.0631211999269383	
51.204	341.596318610524	42.2733332	0.0692962360036288	
51.22	341.703059120987	47.8891896	0.0785019853732311	
51.236	341.80979963145	51.9787764	0.085205809051136	
51.252	341.916540141914	52.8517311	0.0866367933226029	
51.268	342.023280652377	45.1597407	0.0740277572767761	
51.284	342.130021162841	32.4394694	0.0531761504762273	
51.3	342.236761673304	1.178718304	0.00193220490537948	
51.316	342.343502183767	-46.63454	-0.0764453106754465	
51.332	342.450242694231	-114.160881	-0.187137345303024	
51.348	342.556983204694	-202.476083	-0.331907360280223	
51.364	342.663723715158	-301.621937	-0.494431438167825	
51.38	342.770464225621	-394.090936	-0.646010532898952	
51.396	342.877204736084	-461.560202	-0.756609007772176	
51.412	342.983945246548	-486.623635	-0.79769404736468	
51.428	343.090685757011	-452.581966	-0.741891503528808	
51.444	343.197426267475	-366.264417	-0.600396125852775	
51.46	343.304166777938	-218.036387	-0.357414468820039	
51.476	343.410907288401	-26.6330206	-0.043657973982215	
51.492	343.517647798865	179.590702	0.29439267566082	
51.508	343.624388309328	392.013273	0.642604739821249	
51.524	343.731128819792	531.703878	0.87159148864875	
51.54	343.837869330255	610.037942	1	
51.556	343.944609840719	596.834562	0.978356460982225	
51.572	344.051350351182	520.947627	0.853959387004817	
51.588	344.158090861645	382.24362	0.626589911353415	
51.604	344.264831372109	231.612288	0.379668660019183	
51.62	344.371571882572	84.5966078	0.13867433806273	
51.636	344.478312393036	-22.006309	-0.0360736726110062	
51.652	344.585052903499	-70.1681377	-0.115022579529979	
51.668	344.691793413962	-74.6506306	-0.122370471507492	
51.684	344.798533924426	-77.0972482	-0.12638107057282	
51.7	344.905274434889	-88.9593436	-0.145825919136026	
51.716	345.012014945353	-99.8781598	-0.163724504532539	
51.732	345.118755455816	-85.7279328	-0.140528853859388	
51.748	345.225495966279	-55.3075218	-0.0906624293214864	
51.764	345.332236476743	-42.8649857	-0.070266097809372	
