EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
50.644	337.860400744304	11.33974902	10.8092496	11.11399376	11.0876641266667	0.0658617925557676	
50.66	337.967141254768	11.91713259	11.56091812	10.7119148	11.39665517	0.0676972291062548	
50.676	338.073881765231	13.87045184	13.5030259	10.98812116	12.7871996333333	0.0759571971155098	
50.692	338.180622275694	13.57946676	12.65606102	11.83865329	12.69139369	0.0753881005868502	
50.708	338.287362786158	12.34265336	13.40722	13.70890677	13.15292671	0.0781296511671721	
50.724	338.394103296621	13.0642552	12.78397216	11.59659039	12.4816059166667	0.0741419410125549	
50.74	338.500843807085	13.43321001	13.3317983	13.4984395	13.42114927	0.0797229190010173	
50.756	338.607584317548	13.19471423	13.3526923	13.828664	13.4586901766667	0.0799459156014724	
50.772	338.714324828012	14.1853881	14.0748037	13.69718566	13.9857924866667	0.0830769540781333	
50.788	338.821065338475	14.1721383	13.209493	14.7174165	14.0330159333333	0.0833574658985309	
50.804	338.927805848938	14.34948135	14.2220799	13.6987146	14.09009195	0.0836965029334433	
50.82	339.034546359402	14.0778613	14.0900918	14.79029031	14.31941447	0.0850587007839609	
50.836	339.141286869865	13.56214001	13.2568863	13.1921664	13.3370642366667	0.079223445806377	
50.852	339.248027380329	13.88013423	13.0433614	12.29067372	13.0713897833333	0.0776453139714918	
50.868	339.354767890792	12.56484152	13.9367007	14.052381	13.5179744066667	0.0802980696362161	
50.884	339.461508401255	12.8007891	13.57029394	13.823568	13.3982170133333	0.0795866991882451	
50.9	339.568248911719	13.9922473	13.1294848	12.97150701	13.3644130366667	0.079385900311823	
50.916	339.674989422182	13.58762056	12.86194182	13.7695497	13.4063706933333	0.0796351328325719	
50.932	339.781729932646	11.82744193	12.53885161	12.85174966	12.4060144	0.0736929201247647	
50.948	339.888470443109	12.67287809	13.5973032	11.98694836	12.75237655	0.0757503446473569	
50.964	339.995210953572	12.80027942	13.4699016	13.0958508	13.1220106066667	0.0779460065364265	
50.98	340.101951464036	12.92258475	14.2541848	11.64347423	12.94008126	0.0768653286990497	
50.996	340.208691974499	13.9137683	12.7187426	12.2687607	12.9670905333333	0.0770257663834024	
51.012	340.315432484963	13.9998915	13.9270178	12.39667169	13.4411936633333	0.0798419846275139	
51.028	340.422172995426	12.60713893	13.6314466	13.46276716	13.23378423	0.0786099526218316	
51.044	340.528913505889	12.48534306	14.1701	13.3766437	13.34402892	0.079264816696014	
51.06	340.635654016353	14.2241183	12.7936546	12.18977175	13.06918155	0.0776321968528586	
51.076	340.742394526816	12.3859699	13.9071432	13.5646882	13.2859337666667	0.0789197258911678	
51.092	340.84913503728	14.5803326	13.91325866	13.22732917	13.9069734766667	0.0826087615691642	
51.108	340.955875547743	12.84053839	13.16209968	13.8989897	13.30054259	0.0790065037084675	
51.124	341.062616058207	13.804203	15.872693	14.22564693	14.6341809766667	0.0869284441427738	
51.14	341.16935656867	16.5820645	15.0792369	15.8125597	15.8246203666667	0.0939997687480913	
51.156	341.276097079133	17.00962372	15.8293768	16.723735	16.52091184	0.0981358071463627	
51.172	341.382837589597	15.56692965	16.5830836	16.5948047	16.24827265	0.0965163041050354	
51.188	341.48957810006	18.934405	19.4526742	18.22962	18.8722330666667	0.112102881644068	
51.204	341.596318610524	19.5647874	18.7606294	19.4791736	19.2681968	0.114454944347852	
51.22	341.703059120987	21.2424098	21.9650308	21.890119	21.6991865333333	0.128895257446526	
51.236	341.80979963145	22.3625235	21.0823935	20.8041489	21.4163553	0.127215212686395	
51.252	341.916540141914	22.8012942	22.429282	22.9633488	22.7313083333333	0.135026160322668	
51.268	342.023280652377	21.5660094	20.6884684	21.1827859	21.1457545666667	0.125607818273953	
51.284	342.130021162841	17.97125	18.0945745	16.7191482	17.5949909	0.104515940187016	
51.3	342.236761673304	10.83218177	10.90250734	13.2981644	11.6776178366667	0.0693661744004588	
51.316	342.343502183767	0.778677715	0.101921172	-0.367425817	0.17105769	0.00101609914993302	
51.332	342.450242694231	-14.22666621	-14.2888381	-13.12285985	-13.87945472	-0.0824452975047529	
51.348	342.556983204694	-37.2333316	-36.6798995	-36.5468924	-36.8200411666667	-0.218714589972241	
51.364	342.663723715158	-59.9826458	-58.7550053	-58.8508113	-59.1961541333333	-0.351630855614757	
51.38	342.770464225621	-84.3688141	-84.2138939	-82.9770803	-83.8532627666667	-0.498096455156853	
51.396	342.877204736084	-102.5586833	-102.2712677	-102.7727187	-102.534223233333	-0.609063159139072	
51.412	342.983945246548	-109.150946	-109.710491	-110.106458	-109.655965	-0.651366990993416	
51.428	343.090685757011	-102.0220701	-103.8102768	-105.009887	-103.614077966667	-0.615477600235472	
51.444	343.197426267475	-81.8809185	-83.7802194	-86.075484	-83.9122073	-0.498446591360687	
51.46	343.304166777938	-44.8723231	-47.9600249	-48.6388197	-47.1570559	-0.280117452850753	
51.476	343.410907288401	0.661977981	-0.312897996	-2.031288868	-0.560736294333333	-0.00333082758225421	
51.492	343.517647798865	53.4479701	52.7258586	51.0859471	52.4199252666667	0.31137940365623	
51.508	343.624388309328	106.971871	106.994295	104.988995	106.318387	0.631541456294361	
51.524	343.731128819792	145.812499	145.791097	143.465256	145.022950666667	0.861450291379345	
51.54	343.837869330255	167.356596	167.26181	166.583012	167.067139333333	0.992394894718506	
51.556	343.944609840719	168.230059	168.458364	168.353895	168.347439333333	1	
51.572	344.051350351182	147.605293	150.554891	150.340348	149.500177333333	0.888045448896423	
51.588	344.158090861645	111.130766	114.799417	118.427301	114.785828	0.681838871173564	
51.604	344.264831372109	72.1036206	74.5532961	75.7498504	74.1355890333333	0.440372537455366	
51.62	344.371571882572	31.4966985	32.7549152	34.2322626	32.8279587666667	0.195001236114238	
51.636	344.478312393036	3.862302681	3.937214747	5.41456205	4.40469315933333	0.0261643014991865	
51.652	344.585052903499	-8.90892929	-10.62782981	-10.12332001	-9.88669303666667	-0.0587279086383411	
51.668	344.691793413962	-11.45899698	-10.12535851	-10.73688548	-10.77374699	-0.0639970945365414	
51.684	344.798533924426	-9.22386574	-8.93440958	-10.16816527	-9.44214686333333	-0.0560872615629014	
51.7	344.905274434889	-13.0076892	-12.63261922	-12.1999639	-12.6134241066667	-0.0749249537540733	
51.716	345.012014945353	-13.554496	-15.1877829	-14.53752576	-14.4266015533333	-0.085695402380123	
51.732	345.118755455816	-9.76659582	-12.64128251	-11.09564795	-11.1678420933333	-0.0663380573981921	
51.748	345.225495966279	-3.46582934	-3.827139853	-3.70381524	-3.665594811	-0.021773986141494	
51.764	345.332236476743	1.3428113887	-0.615603857	-0.360800936	0.1221355319	0.000725496820050631	
51.78	345.438976987206	-2.916983827	-2.100085663	-2.106200936	-2.37442347533333	-0.0141043040793267	
51.796	345.54571749767	-4.940628592	-5.60515464	-5.00280051	-5.18286124733333	-0.0307866948725671	
51.812	345.652458008133	-1.601181547	-1.726544586	-3.04336608	-2.12369740433333	-0.0126149670748977	
51.828	345.759198518596	3.702286418	5.25301702	4.45395504	4.469752826	0.0265507621838533	
51.844	345.86593902906	5.00585817	5.80033366	6.2482772	5.68482301	0.033768396077257	
51.86	345.972679539523	0.5248940104	1.016154052	1.8875800324	1.1428760316	0.00678879367649346	
51.876	346.079420049987	-0.549864696	3.010241695	-0.00764409329999999	0.817577635233333	0.00485648987873527	
51.892	346.18616056045	7.76384498	7.03256055	5.79880485	6.86507012666667	0.0407791775975494	
51.908	346.292901070914	6.887322888	9.15201133	8.6658474	8.23506053933333	0.0489170525666723	
51.924	346.399641581377	5.0685397	6.62079907	5.7427482175	5.8106956625	0.0345160917535231	
51.94	346.50638209184	2.7559483894	4.28986196	1.2745242182	2.77344485586667	0.0164745295019021	
51.956	346.613122602304	5.48386844	6.40574543	6.55047345	6.14669577333333	0.0365119647656932	
51.972	346.719863112767	9.55561912	8.19599079	9.27635503	9.00932164666667	0.0535162380986854	
51.988	346.826603623231	6.79712274	9.66671318	8.59093534	8.35159042	0.0496092512786226	
52.004	346.933344133694	6.53875247	7.26952735	7.21805713	7.00877898333334	0.0416328220440332	
52.02	347.040084644157	9.18360687	8.2821141	8.30249836	8.58940644333333	0.0510219013567889	
52.036	347.146825154621	9.44911147	7.99520594	10.30983578	9.25138439666667	0.0549541141421737	
52.052	347.253565665084	10.55342734	9.19685657	9.87055558	9.87361316333333	0.0586502129312657	
52.068	347.360306175548	8.83248844	8.92268868	9.67741492	9.14419734666667	0.0543174127440149	
52.084	347.467046686011	10.23339495	10.08204181	9.93527545	10.0835707366667	0.0598973811339113	
