EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
49.966	333.337271613417	9.21927923	9.30642186	9.01951372	9.18173827	0.0166597471404689	
49.982	333.444012123881	9.42465044	9.39917019	8.92065025	9.24815696	0.0167802601139673	
49.998	333.550752634344	9.68302066	9.60912774	8.74330739	9.34515193	0.0169562520260192	
50.014	333.657493144808	9.3176331	9.56937839	8.6006178	9.16254309666667	0.0166249185791827	
50.03	333.764233655271	9.34056545	9.84558478	9.05977261	9.41530761333333	0.0170835455635206	
50.046	333.870974165734	9.34617118	9.27023983	8.99709113	9.20450071333333	0.0167010483123256	
50.062	333.977714676198	10.04382146	9.37063217	8.89771801	9.43739054666667	0.0171236138027401	
50.078	334.084455186661	9.76557666	9.42363116	9.6132046	9.60080414	0.0174201185673274	
50.094	334.191195697125	9.34871908	9.83895989	8.96243787	9.38337228	0.0170256006992111	
50.11	334.297936207588	9.49803358	9.29266248	8.82943075	9.20670893666667	0.0167050550092365	
50.126	334.404676718051	8.67094337	10.20587616	8.67909708	9.18530553666667	0.0166662197449913	
50.142	334.511417228515	10.15542516	9.398151	9.10563714	9.5530711	0.0173335096537141	
50.158	334.618157738978	9.213164	8.69744283	9.53319636	9.14793439666667	0.0165984119155321	
50.174	334.724898249442	9.22233679	9.96432304	8.57106062	9.25257348333333	0.0167882736468964	
50.19	334.831638759905	8.89109306	8.97721655	9.81704696	9.22845219	0.0167445069182207	
50.206	334.938379270368	9.97451511	9.73449076	9.27431663	9.6611075	0.0175295356188462	
50.222	335.045119780832	9.29877778	10.53457188	9.38897802	9.74077589333333	0.0176740894330577	
50.238	335.151860291295	9.92406404	9.91540082	9.74315402	9.86087296	0.0178919987988165	
50.254	335.258600801759	9.69117434	9.76659586	8.87376647	9.44384555666667	0.0171353260549549	
50.27	335.365341312222	9.47663014	9.53217717	9.05722459	9.35534396666667	0.0169747449027186	
50.286	335.472081822685	8.77643173	8.79681608	9.38693956	8.98672912333333	0.0163059140232519	
50.302	335.578822333149	9.66875159	9.62492536	9.0521285	9.44860181666667	0.0171439560209379	
50.318	335.685562843612	8.69489484	9.18054924	9.28705672	9.05416693333333	0.0164282761326117	
50.334	335.792303354076	9.06945514	9.57294568	9.06741673	9.23660585	0.0167593012752231	
50.35	335.899043864539	9.31763325	9.3701226	9.1948182	9.29419135	0.016863786922793	
50.366	336.005784375003	8.58583917	8.7106926	9.21520242	8.83724473	0.0160346830078224	
50.382	336.112524885466	9.73754846	9.31355637	9.31100832	9.45403771666667	0.0171538191554357	
50.398	336.219265395929	8.88344897	8.72649035	8.58481994	8.73158642	0.0158429719531041	
50.414	336.326005906393	9.08780088	8.70763494	8.30045993	8.69863191666667	0.015783177862211	
50.43	336.432746416856	8.94460163	9.46083248	9.10206983	9.16916798	0.0166369390569967	
50.446	336.53948692732	9.4338234	9.1576169	9.16882822	9.25342284	0.0167898147567476	
50.462	336.646227437783	9.14334798	9.37267063	9.88380527	9.46660796	0.0171766271542339	
50.478	336.752967948246	9.74875971	9.96432304	8.90841962	9.54050079	0.017310701533953	
50.494	336.85970845871	9.33495979	9.81551803	8.84726691	9.33258157666667	0.0169334438276322	
50.51	336.966448969173	9.26667255	10.55393697	9.02766744	9.61609232	0.0174478581091819	
50.526	337.073189479637	9.69932796	9.83997919	9.3064218	9.61524298333333	0.0174463170356196	
50.542	337.1799299901	9.91692954	10.65178115	10.31646062	10.2950571033333	0.0186798014814489	
50.558	337.286670500563	9.552052	10.65076212	9.83743112	10.01341508	0.0181687778871264	
50.574	337.393411011027	9.91081441	10.5880806	10.18447263	10.2277892133333	0.0185577476823622	
50.59	337.50015152149	10.32206626	10.6033687	10.54017766	10.48853754	0.0190308608404404	
50.606	337.606892031954	10.88110381	11.15323334	9.50465841	10.51299852	0.0190752439114477	
50.622	337.713632542417	10.22778911	10.4275547	10.58349405	10.4129459533333	0.0188937041623931	
50.638	337.82037305288	10.49533235	11.15832953	10.25530798	10.6363232866667	0.0192990097571305	
50.654	337.927113563344	11.36777734	10.61254169	10.91320895	10.9645093266667	0.0198944848491722	
50.67	338.033854073807	11.61850331	11.21540527	11.62716684	11.48702514	0.0208425603737679	
50.686	338.140594584271	12.7375981	11.94363208	12.523054	12.40142806	0.0225016929893729	
50.702	338.247335094734	12.6718588	12.7197619	12.5210156	12.6375454333333	0.0229301146694003	
50.718	338.354075605198	13.9193739	14.2302334	14.2185127	14.1227066666667	0.0256248561097006	
50.734	338.460816115661	14.3097321	13.9509695	14.4896228	14.2501081333333	0.0258560188980069	
50.75	338.567556626124	15.9990753	15.2779832	14.7653197	15.3474594	0.0278471009882765	
50.766	338.674297136588	16.3884141	16.113227	15.7712816	16.0909742333333	0.02919616679197	
50.782	338.781037647051	16.864386	16.9041352	16.0342383	16.6009198333333	0.0301214343722008	
50.798	338.887778157515	17.5273833	17.1227563	17.3459635	17.3320343666667	0.0314480005297063	
50.814	338.994518667978	17.6267563	17.1100162	16.2650897	17.0006207333333	0.0308466691512812	
50.83	339.101259178441	16.6855145	18.0874402	16.7293406	17.1674317666667	0.0311493383794658	
50.846	339.207999688905	17.1783033	16.8893567	17.2149948	17.0942182666667	0.031016496605784	
50.862	339.314740199368	17.1538421	16.9759897	16.7935509	16.9744609	0.0307992036065494	
50.878	339.421480709832	16.4149138	17.8596463	16.5535266	16.9426955666667	0.0307415671976686	
50.894	339.528221220295	16.308406	16.4138944	16.0062099	16.2428367666667	0.0294717128085354	
50.91	339.634961730758	15.963403	15.9674797	15.1251013	15.685328	0.0284601445402906	
50.926	339.741702241222	15.7748489	15.9995849	15.3049921	15.6931419666667	0.0284743225428651	
50.942	339.848442751685	14.5619869	14.9762964	14.667985	14.7354227666667	0.0267365949759942	
50.958	339.955183262149	14.8249432	14.5196896	14.10538	14.4833376	0.0262792006339826	
50.974	340.061923772612	14.0386218	14.114553	14.0956975	14.0829574333333	0.0255527333637796	
50.99	340.168664283075	13.3481058	13.2181564	11.88196971	12.8160773033333	0.0232540506958097	
51.006	340.275404793539	13.4179217	12.9190179	12.9893432	13.1087609333333	0.0237851086637641	
51.022	340.382145304002	12.73454019	13.016862	12.71160798	12.82100339	0.0232629888027178	
51.038	340.488885814466	11.74845309	11.6592719	11.96605477	11.79125992	0.021394577253044	
51.054	340.595626324929	11.28522135	12.20760789	11.65468553	11.7158382566667	0.021257728891318	
51.07	340.702366835393	11.33923965	11.30458649	12.265703	11.6365097133333	0.0211137917157972	
51.086	340.809107345856	11.35707586	11.3198747	11.37083522	11.3492619266667	0.0205925967795222	
51.102	340.915847856319	12.6586092	12.07511044	12.9078063	12.5471753133333	0.022766143174681	
51.118	341.022588366783	12.38546028	12.7202714	12.6494361	12.5850559266667	0.0228348754148191	
51.134	341.129328877246	14.4249028	14.5874673	13.0596688	14.0240129666667	0.0254457819477057	
51.15	341.23606938771	15.9302785	15.8517993	15.9098943	15.8973240333333	0.0288447994069682	
51.166	341.342809898173	17.4234238	18.0711328	18.0797959	17.8581175	0.0324025487555945	
51.182	341.449550408636	21.4161854	21.1144988	21.0543654	21.1950165333333	0.0384571641774093	
51.198	341.5562909191	25.3467753	24.1476727	24.1772299	24.5572259666667	0.0445577038949973	
51.214	341.663031429563	27.6659914	28.3315367	28.0461575	28.0145618666667	0.0508308452305394	
51.23	341.769771940027	32.3105392	32.5306887	31.7932892	32.2115057	0.0584459635196913	
51.246	341.87651245049	36.2966761	37.1410929	36.7634749	36.7337479666667	0.0666513175011665	
51.262	341.983252960953	40.1477674	40.1503154	40.4565884	40.2515570666667	0.0730341840533451	
51.278	342.089993471417	41.563962	42.2050461	40.7995531	41.5228537333333	0.0753408802784366	
51.294	342.19673398188	38.6082481	38.6265939	38.5949983	38.6099467666667	0.0700555745899772	
51.31	342.303474492344	28.6908087	30.004063	28.9909666	29.2286127666667	0.0530336722350668	
51.326	342.410215002807	10.93563174	10.12382962	9.4705149	10.1766587533333	0.0184649743414406	
51.342	342.51695551327	-20.8642822	-22.1454315	-23.8205056	-22.2767397666667	-0.0404198900810855	
51.358	342.623696023734	-69.6952235	-71.1058125	-73.354703	-71.3852463333333	-0.129524510338	
51.374	342.730436534197	-134.763737	-137.803534	-140.144665	-137.570645333333	-0.249614190451594	
51.39	342.837177044661	-209.236003	-214.022221	-214.373341	-212.543855	-0.38564885824833	
51.406	342.943917555124	-289.597279	-297.967554	-297.223528	-294.929453666667	-0.535132888553064	
51.422	343.050658065587	-357.680108	-362.311406	-362.425557	-360.805690333333	-0.65466161101929	
51.438	343.157398576051	-402.111622	-402.110603	-401.836433	-402.019552666667	-0.729441843799268	
51.454	343.264139086514	-402.775128	-400.875829	-402.203862	-401.951606333333	-0.729318559002951	
51.47	343.370879596978	-353.113022	-354.214279	-352.781267	-353.369522666667	-0.641169103459412	
51.486	343.477620107441	-253.712363	-253.668027	-255.020011	-254.133467	-0.461110867643008	
51.502	343.584360617905	-113.241553	-118.090961	-112.0164599	-114.449657966667	-0.207662460633157	
51.518	343.691101128368	59.4918955	57.2272071	61.7219305	59.4803443666667	0.107923735989556	
51.534	343.797841638831	231.092998	242.215656	232.34816	235.218938	0.426791519698768	
51.55	343.904582149295	392.668115	391.248354	393.408575	392.441681333333	0.712063335518474	
51.566	344.011322659758	503.525733	501.92608	502.450467	502.634093333333	0.912001263036678	
51.582	344.118063170222	554.182082	551.52143	547.695821	551.133111	1	
51.598	344.224803680685	534.38899	535.53917	529.945738	533.291299333333	0.967627037260937	
51.614	344.331544191148	455.464298	450.461495	453.806038	453.243943666667	0.82238561723189	
51.63	344.438284701612	324.284619	321.303425	329.687969	325.092004333333	0.589861138525087	
51.646	344.545025212075	182.269193	182.807335	176.77564	180.617389333333	0.327720083820791	
51.662	344.651765722539	62.6142502	63.2828531	61.6434512	62.5135181666667	0.113427259075833	
51.678	344.758506233002	-15.3141652	-16.4521149	-17.7225622	-16.4962807666667	-0.0299315726771253	
51.694	344.865246743465	-47.7719801	-47.2017314	-47.7164332	-47.5633815666667	-0.0863010779380785	
51.71	344.971987253929	-57.0677003	-54.3209249	-55.320262	-55.5696290666667	-0.100827963258892	
