D:\Data\Install\2023-11-16\20231116-085401_La scala day--ESp_Cayman_iXPS-ESp_Cayman--1_1-Detector_Region.vms
Survey
	Characteristic Energy eV	1486.7	Acquisition Time s	0.1	Step Size eV	0.344322	No Steps	4096



KE_Survey	BE_Survey	Background_Survey
86.7	1400	355.902
87.0443	1399.66	311.559
87.3886	1399.31	375.47
87.733	1398.97	318.718
88.0773	1398.62	366.061
88.4216	1398.28	365.795
88.7659	1397.93	378.85
89.1103	1397.59	295.852
89.4546	1397.25	390.513
89.7989	1396.9	323.76
90.1432	1396.56	320.129
90.4875	1396.21	363.175
90.8319	1395.87	387.129
91.1762	1395.52	292.543
91.5205	1395.18	399.052
91.8648	1394.84	343.928
92.2092	1394.49	316.143
92.5535	1394.15	266.888
92.8978	1393.8	406.925
93.2421	1393.46	367.267
93.5864	1393.11	323.903
93.9308	1392.77	346.702
94.2751	1392.42	258.175
94.6194	1392.08	326.114
94.9637	1391.74	359.303
95.3081	1391.39	461.898
95.6524	1391.05	358.973
95.9967	1390.7	344.838
96.341	1390.36	327.671
96.6853	1390.01	333.444
97.0297	1389.67	371.147
97.374	1389.33	347.415
97.7183	1388.98	400.032
98.0626	1388.64	430.418
98.407	1388.29	357.721
98.7513	1387.95	356.286
99.0956	1387.6	276.539
99.4399	1387.26	356.171
99.7842	1386.92	342.613
100.129	1386.57	334.651
100.473	1386.23	308.46
100.817	1385.88	357.688
101.162	1385.54	358.537
101.506	1385.19	407.037
101.85	1384.85	404.646
102.195	1384.51	341.259
102.539	1384.16	421.85
102.883	1383.82	394.235
103.227	1383.47	397.84
103.572	1383.13	449.398
103.916	1382.78	443.84
104.26	1382.44	458.514
104.605	1382.1	373.472
104.949	1381.75	443.308
105.293	1381.41	443.949
105.638	1381.06	445.2
105.982	1380.72	466.609
106.326	1380.37	429.744
106.671	1380.03	462.253
107.015	1379.68	390.666
107.359	1379.34	341.971
107.704	1379	401.274
108.048	1378.65	354.048
108.392	1378.31	397.192
108.737	1377.96	470.53
109.081	1377.62	426.444
109.425	1377.27	334.467
109.77	1376.93	493.142
110.114	1376.59	442.039
110.458	1376.24	478.254
110.803	1375.9	503.129
111.147	1375.55	486.905
111.491	1375.21	567.129
111.836	1374.86	383.42
112.18	1374.52	411.329
112.524	1374.18	415.899
112.868	1373.83	414.18
113.213	1373.49	436.728
113.557	1373.14	481.503
113.901	1372.8	509.674
114.246	1372.45	377.528
114.59	1372.11	389.151
114.934	1371.77	439.38
115.279	1371.42	463.077
115.623	1371.08	472.791
115.967	1370.73	403.688
116.312	1370.39	520.947
116.656	1370.04	516.62
117	1369.7	506.559
117.345	1369.36	416.576
117.689	1369.01	449.815
118.033	1368.67	396.022
118.378	1368.32	439.469
118.722	1367.98	445.648
119.066	1367.63	482.358
119.411	1367.29	495.976
119.755	1366.95	385.802
120.099	1366.6	521.944
120.444	1366.26	460.897
120.788	1365.91	418.018
121.132	1365.57	447.58
121.477	1365.22	456.579
121.821	1364.88	486.626
122.165	1364.53	428.715
122.51	1364.19	475.952
122.854	1363.85	491.532
123.198	1363.5	446.897
123.542	1363.16	429.721
123.887	1362.81	450.666
124.231	1362.47	544.121
124.575	1362.12	511.811
124.92	1361.78	601.677
125.264	1361.44	567.899
125.608	1361.09	537.34
125.953	1360.75	509.527
126.297	1360.4	494.835
126.641	1360.06	523.642
126.986	1359.71	535.863
127.33	1359.37	621.806
127.674	1359.03	631.663
128.019	1358.68	619.671
128.363	1358.34	640.458
128.707	1357.99	542.692
129.052	1357.65	512.494
129.396	1357.3	645.256
129.74	1356.96	581.514
130.085	1356.62	606.318
130.429	1356.27	671.203
130.773	1355.93	676.962
131.118	1355.58	646.551
131.462	1355.24	573.003
131.806	1354.89	554.21
132.151	1354.55	630.526
132.495	1354.21	746.607
132.839	1353.86	626.959
133.184	1353.52	571.364
133.528	1353.17	700.849
133.872	1352.83	576.78
134.216	1352.48	533.378
134.561	1352.14	658.602
134.905	1351.79	567.023
135.249	1351.45	649.701
135.594	1351.11	691.676
135.938	1350.76	619.596
136.282	1350.42	701.611
136.627	1350.07	720.042
136.971	1349.73	587.744
137.315	1349.38	735.644
137.66	1349.04	632.502
138.004	1348.7	641.646
138.348	1348.35	762.293
138.693	1348.01	630.179
139.037	1347.66	701.422
139.381	1347.32	701.549
139.726	1346.97	689.672
140.07	1346.63	636.384
140.414	1346.29	756.778
140.759	1345.94	655.159
141.103	1345.6	696.654
141.447	1345.25	675.069
141.792	1344.91	706.888
142.136	1344.56	808.451
142.48	1344.22	820.012
142.825	1343.88	697.556
143.169	1343.53	728.495
143.513	1343.19	666.451
143.858	1342.84	672.563
144.202	1342.5	720.148
144.546	1342.15	713.29
144.89	1341.81	675
145.235	1341.47	816.306
145.579	1341.12	756.551
145.923	1340.78	644.245
146.268	1340.43	643.54
146.612	1340.09	789.095
146.956	1339.74	722.668
147.301	1339.4	540.721
147.645	1339.05	778.927
147.989	1338.71	726.996
148.334	1338.37	798.313
148.678	1338.02	675.753
149.022	1337.68	707.817
149.367	1337.33	718.259
149.711	1336.99	732.447
150.055	1336.64	665.6
150.4	1336.3	688.114
150.744	1335.96	727.459
151.088	1335.61	584.699
151.433	1335.27	620.915
151.777	1334.92	733.142
152.121	1334.58	838.796
152.466	1334.23	793.118
152.81	1333.89	772.403
